goal_id,type,amount,description,date
1,deposit,15,Allowance,2025-09-04
1,deposit,10,Weekly save,2025-09-07
1,deposit,18,Chores,2025-09-10
1,deposit,15,Allowance,2025-09-11
1,deposit,22,Babysitting,2025-09-15
1,deposit,8,Snack savings,2025-09-18
1,deposit,15,Allowance,2025-09-25
1,deposit,10,Weekly save,2025-09-28
1,deposit,18,Chores,2025-10-02
1,deposit,16,Allowance,2025-10-09
3,deposit,10,Weekly save,2025-10-10
1,deposit,9,Snack savings,2025-10-12
1,deposit,15,Allowance,2025-10-16
1,deposit,24,Babysitting,2025-10-19
1,deposit,10,Weekly save,2025-10-23
1,deposit,15,Allowance,2025-10-30
1,deposit,10,Weekly save,2025-11-02
2,deposit,18,Chores,2025-11-06
2,deposit,15,Allowance,2025-11-13
2,deposit,23,Babysitting,2025-11-17
2,deposit,9,Snack savings,2025-11-20
2,deposit,15,Allowance,2025-11-27
1,deposit,10,Weekly save,2025-11-30
1,complete,250,Goal 'Wireless headphones' completed,2025-10-26
2,deposit,5,Snack savings,2025-12-04
2,deposit,15,Allowance,2025-12-11
2,deposit,10,Weekly save,2025-12-14
2,deposit,18,Chores,2025-12-18
5,deposit,200,Gift,2025-12-24
2,deposit,15,Allowance,2025-12-25
2,deposit,20,Babysitting,2025-12-29
2,deposit,7,Snack savings,2026-01-01
2,deposit,5,Snack savings,2026-01-05
2,complete,175,Goal 'New sneakers' completed,2025-12-06
3,deposit,15,Allowance,2026-01-15
3,deposit,10,Weekly save,2026-01-18
3,deposit,18,Chores,2026-01-22
3,deposit,15,Allowance,2026-01-29
3,deposit,24,Babysitting,2026-02-02
3,deposit,8,Snack savings,2026-02-05
3,deposit,15,Allowance,2026-02-10
3,deposit,10,Weekly save,2026-02-15
3,deposit,9,Snack savings,2026-02-19
4,deposit,15,Allowance,2026-02-19
3,deposit,5,Snack savings,2026-02-22
4,deposit,20,Babysitting,2026-02-28
5,deposit,15,Allowance,2026-02-28
3,complete,140,Goal 'Bluetooth speaker' completed,2026-02-28
4,deposit,5,Snack savings,2026-03-01
6,deposit,15,Chores,2026-03-02
6,deposit,9,Weekly save,2026-03-04
6,deposit,16,Allowance,2026-03-08
4,deposit,5,Snack savings,2026-03-09
